time: 14.15.36 | mod sgsrocks: oo
time: 23.24.27 | mod sgsrocks: lol 

time: 23.28.43 | mod sgsrocks: ther eit goes

time: 23.28.44 | mod sgsrocks: xd 

time: 23.42.27 | mod sgsrocks: um tf 

time: 23.42.27 | mod sgsrocks: ;ol

time: 23.52.22 | mod sgsrocks: um 

time: 23.52.23 | mod sgsrocks: kol

time: 23.59.1 | mod sgsrocks: lol 

time: 23.59.2 | mod sgsrocks: xd 

time: 23.59.5 | mod sgsrocks: that works

time: 23.59.6 | mod sgsrocks: lol 

time: 0.0.19 | mod sgsrocks: tf 

time: 0.0.20 | mod sgsrocks: lol 

time: 16.26.48 | mod sgsrocks: um 

time: 16.26.50 | mod sgsrocks: lol 

time: 16.26.57 | mod sgsrocks: @blu@test

time: 16.26.58 | mod sgsrocks: ;p;

time: 16.27.5 | mod sgsrocks:  col=1040 

time: 16.27.6 | mod sgsrocks: lol 

time: 16.27.8 | mod sgsrocks:  . 

time: 16.38.20 | mod sgsrocks: um 

time: 16.38.23 | mod sgsrocks: not right

time: 16.38.24 | mod sgsrocks: lol 

time: 16.39.47 | mod sgsrocks: 5r 

time: 16.39.48 | mod sgsrocks: tf 

time: 18.14.3 | mod sgsrocks: um 

time: 18.14.5 | mod sgsrocks: lol 

time: 18.14.9 | mod sgsrocks: this is a issue 

time: 18.22.17 | mod sgsrocks: ok thats added 

time: 18.22.21 | mod sgsrocks: idk if its the right amount 

time: 18.22.22 | mod sgsrocks: ;p;

time: 18.24.4 | mod sgsrocks: oks

time: 18.24.5 | mod sgsrocks: lol 

time: 11.52.3 | mod sgsrocks: lol 

time: 11.52.4 | mod sgsrocks: xd 

time: 11.54.27 | mod sgsrocks: that shit iscrazy

time: 11.54.29 | mod sgsrocks: mother fckes

time: 11.54.30 | mod sgsrocks: xd 

time: 11.54.31 | mod sgsrocks: lol 

time: 11.54.31 | mod sgsrocks: xd 

time: 11.54.47 | mod sgsrocks: was it black or green i dont fuckin remember 

time: 11.54.48 | mod sgsrocks: lol 

time: 12.14.48 | mod sgsrocks: shift drop boi xd 

time: 13.31.28 | mod sgsrocks: guh

time: 13.31.30 | mod sgsrocks: cant see fps 

time: 13.31.32 | mod sgsrocks: guh

time: 13.32.44 | mod sgsrocks: i x

time: 13.32.45 | mod sgsrocks: xd 

time: 13.32.49 | mod sgsrocks: a q p 

time: 13.32.50 | mod sgsrocks:       w

time: 13.32.52 | mod sgsrocks: a q p 

time: 13.32.54 | mod sgsrocks:      w 

time: 13.32.55 | mod sgsrocks: xd 

time: 13.32.56 | mod sgsrocks: lol 

time: 13.33.1 | mod sgsrocks: its getting closer 

time: 13.33.2 | mod sgsrocks: lol 

time: 13.33.11 | mod sgsrocks: fog is allmost working xxd

time: 13.33.12 | mod sgsrocks: xd 

time: 13.34.14 | mod sgsrocks: its allmost done xd 

time: 13.34.15 | mod sgsrocks: xd 

time: 14.9.24 | mod sgsrocks: yes

time: 14.9.26 | mod sgsrocks: fog is wokring 

time: 14.9.26 | mod sgsrocks: lol 

time: 14.16.36 | mod sgsrocks: xd 

time: 14.24.56 | mod sgsrocks: oks

time: 14.24.59 | mod sgsrocks: that stoped that 

time: 14.25.0 | mod sgsrocks: good 

time: 14.25.21 | mod sgsrocks: d 

time: 14.25.27 | mod sgsrocks: ok 

time: 14.25.29 | mod sgsrocks: its working

time: 14.51.9 | mod sgsrocks: zzw

time: 18.27.24 | mod sgsrocks: lol 

time: 18.27.24 | mod sgsrocks: xd 

time: 18.27.25 | mod sgsrocks: lol 

time: 19.48.46 | sgsrocks: yay 

time: 19.48.50 | sgsrocks: lol 

